# Data Privacy Law Dataset (sample)
# Format: (subject, predicate, object)

(GDPR, jurisdiction, European Union)
(GDPR, enacted, 2018)
(GDPR, regulates, Personal Data)
(GDPR, requires, Consent)
(GDPR, grants_right, Data Subject)
(GDPR, restricts, Data Transfer)
(GDPR, mandates, Data Protection Officer)
(GDPR, penalty, Fine)

(CCPA, jurisdiction, California)
(CCPA, enacted, 2020)
(CCPA, regulates, Personal Data)
(CCPA, requires, Notice)
(CCPA, grants_right, Consumer)
(CCPA, restricts, Data Sale)
(CCPA, penalty, Fine)

(PIPEDA, jurisdiction, Canada)
(PIPEDA, enacted, 2000)
(PIPEDA, regulates, Personal Data)
(PIPEDA, requires, Consent)
(PIPEDA, grants_right, Individual)
(PIPEDA, restricts, Data Disclosure)
(PIPEDA, penalty, Fine)

(Personal Data, type_of, Data)
(Consent, required_for, Processing)
(Data Subject, has_right, Access)
(Data Subject, has_right, Erasure)
(Data Subject, has_right, Rectification)
(Data Protection Officer, appointed_by, Organization)
(Fine, imposed_for, Violation)
