# Upper Ontology Dataset (sample)
# Format: (subject, predicate, object)

(Entity, is_a, Thing)
(Process, is_a, Thing)
(Object, is_a, Entity)
(Event, is_a, Process)
(Property, is_a, Thing)
(Relation, is_a, Thing)
(Time, is_a, Entity)
(Space, is_a, Entity)
(Agent, is_a, Object)
(Action, is_a, Event)
(State, is_a, Property)
(Quantity, is_a, Property)
(Part, part_of, Object)
(Whole, has_part, Part)
(Cause, relates_to, Effect)
(Effect, caused_by, Cause)
(Identity, property_of, Entity)
(Kind, subclass_of, Entity)
(Role, property_of, Agent)
(Structure, property_of, Object)
(System, has_part, Structure)
